idx;id;sci_name;com_name;class;order
3010;10055;Merops viridis;Blue-throated Bee-eater;Aves;Coraciiformes
3011;10056;Merops viridissimus;African Green Bee-eater;Aves;Coraciiformes
3012;10060;Mesembrinibis cayennensis;Green Ibis;Aves;Pelecaniformes
3013;10077;Metaphrynella sundana;Metaphrynella sundana;Amphibia;Anura
3014;10082;Metopidius indicus;Bronze-winged Jacana;Aves;Charadriiformes
3015;10086;Metriopelia melanoptera;Black-winged Ground Dove;Aves;Columbiformes
3016;10088;Metrioptera brachyptera;Metrioptera brachyptera;Insecta;Orthoptera
3017;10099;Micrastur gilvicollis;Lined Forest Falcon;Aves;Falconiformes
3018;10103;Micrastur ruficollis;Barred Forest Falcon;Aves;Falconiformes
3019;10104;Micrastur semitorquatus;Collared Forest Falcon;Aves;Falconiformes
3020;10105;Micrathene whitneyi;Elf Owl;Aves;Strigiformes
3021;10109;Microcarbo africanus;Reed Cormorant;Aves;Suliformes
3022;10110;Microcarbo melanoleucos;Little Pied Cormorant;Aves;Suliformes
3023;10111;Microcarbo niger;Little Cormorant;Aves;Suliformes
3024;10112;Microcarbo pygmaeus;Pygmy Cormorant;Aves;Suliformes
3025;10118;Microcentrum retinerve;lesser angle-wing;Insecta;Orthoptera
3026;10119;Microcentrum rhombifolium;greater angle-wing;Insecta;Orthoptera
3027;10122;Microcerculus marginatus;Southern Nightingale-Wren;Aves;Passeriformes
3028;10129;Microeca fascinans;Jacky Winter;Aves;Passeriformes
3029;10135;Microhierax fringillarius;Black-thighed Falconet;Aves;Falconiformes
3030;10144;Microhyla butleri;Microhyla butleri;Amphibia;Anura
3031;10145;Microhyla fissipes;Microhyla fissipes;Amphibia;Anura
3032;10146;Microhyla heymonsi;Microhyla heymonsi;Amphibia;Anura
3033;10150;Microhyla mukhlesuri;Microhyla mukhlesuri;Amphibia;Anura
3034;10164;Micronisus gabar;Gabar Goshawk;Aves;Accipitriformes
3035;10177;Micropternus brachyurus;Rufous Woodpecker;Aves;Piciformes
3036;10182;Microrhopias quixensis;Dot-winged Antwren;Aves;Passeriformes
3037;10190;Microspingus cabanisi;Grey-throated Warbling Finch;Aves;Passeriformes
3038;10194;Microspingus melanoleucus;Black-capped Warbling Finch;Aves;Passeriformes
3039;10195;Microspingus torquatus;Ringed Warbling Finch;Aves;Passeriformes
3040;10200;Microtarsus melanocephalos;Black-headed Bulbul;Aves;Passeriformes
3041;10212;Micryletta steinegeri;Micryletta steinegeri;Amphibia;Anura
3042;10217;Milvus migrans;Black Kite;Aves;Accipitriformes
3043;10218;Milvus milvus;Red Kite;Aves;Accipitriformes
3044;10222;Mimus gilvus;Tropical Mockingbird;Aves;Passeriformes
3045;10224;Mimus gundlachii;Bahama Mockingbird;Aves;Passeriformes
3046;10229;Mimus patagonicus;Patagonian Mockingbird;Aves;Passeriformes
3047;10230;Mimus polyglottos;Northern Mockingbird;Aves;Passeriformes
3048;10231;Mimus saturninus;Chalk-browed Mockingbird;Aves;Passeriformes
3049;10232;Mimus thenca;Chilean Mockingbird;Aves;Passeriformes
3050;10234;Mimus triurus;White-banded Mockingbird;Aves;Passeriformes
3051;10244;Minla ignotincta;Red-tailed Minla;Aves;Passeriformes
3052;10246;Mino dumontii;Yellow-faced Myna;Aves;Passeriformes
3053;10260;Mionectes oleagineus;Ochre-bellied Flycatcher;Aves;Passeriformes
3054;10262;Mionectes rufiventris;Grey-hooded Flycatcher;Aves;Passeriformes
3055;10266;Plocealauda affinis;Jerdon's Bush Lark;Aves;Passeriformes
3056;10267;Corypha africana;Rufous-naped Lark;Aves;Passeriformes
3057;10271;Plocealauda assamica;Bengal Bush Lark;Aves;Passeriformes
3058;10275;Plocealauda erythrocephala;Indochinese Bush Lark;Aves;Passeriformes
3059;10276;Plocealauda erythroptera;Indian Bush Lark;Aves;Passeriformes
3060;10277;Corypha fasciolata;Eastern Clapper Lark;Aves;Passeriformes
3061;10278;Corypha hypermetra;Red-winged Lark;Aves;Passeriformes
3062;10279;Mirafra javanica;Singing Bush Lark;Aves;Passeriformes
3063;10283;Amirafra rufocinnamomea;Flappet Lark;Aves;Passeriformes
3064;10287;Mirounga angustirostris;Northern Elephant Seal;Mammalia;Carnivora
3065;10288;Mirounga leonina;Southern Elephant Seal;Mammalia;Carnivora
3066;10294;Mitrephanes phaeocercus;Northern Tufted Flycatcher;Aves;Passeriformes
3067;10300;Mitu tuberosum;Razor-billed Curassow;Aves;Galliformes
3068;10307;Mniotilta varia;Black-and-white Warbler;Aves;Passeriformes
3069;10319;Mogannia formosana;Mogannia formosana;Insecta;Hemiptera
3070;10320;Mogannia hebes;Mogannia hebes;Insecta;Hemiptera
3071;10324;Mohoua albicilla;Whitehead;Aves;Passeriformes
3072;10332;Molothrus aeneus;Bronzed Cowbird;Aves;Passeriformes
3073;10334;Molothrus ater;Brown-headed Cowbird;Aves;Passeriformes
3074;10335;Molothrus bonariensis;Shiny Cowbird;Aves;Passeriformes
3075;10336;Molothrus oryzivorus;Giant Cowbird;Aves;Passeriformes
