idx;id;sci_name;com_name;class;order
2277;3961;Cisticola hunteri;Hunter's Cisticola;Aves;Passeriformes
2278;3962;Cisticola juncidis;Zitting Cisticola;Aves;Passeriformes
2279;3963;Cisticola lais;Wailing Cisticola;Aves;Passeriformes
2280;3964;Cisticola lateralis;Whistling Cisticola;Aves;Passeriformes
2281;3966;Cisticola lugubris;Ethiopian Cisticola;Aves;Passeriformes
2282;3967;Cisticola marginatus;Winding Cisticola;Aves;Passeriformes
2283;3968;Cisticola nana;Tiny Cisticola;Aves;Passeriformes
2284;3969;Cisticola natalensis;Croaking Cisticola;Aves;Passeriformes
2285;3970;Cisticola nigriloris;Black-lored Cisticola;Aves;Passeriformes
2286;3971;Cisticola njombe;Churring Cisticola;Aves;Passeriformes
2287;3972;Cisticola pipiens;Chirping Cisticola;Aves;Passeriformes
2288;3973;Cisticola robustus;Stout Cisticola;Aves;Passeriformes
2289;3974;Cisticola ruficeps;Red-pate Cisticola;Aves;Passeriformes
2290;3975;Cisticola rufilatus;Tinkling Cisticola;Aves;Passeriformes
2291;3976;Cisticola rufus;Rufous Cisticola;Aves;Passeriformes
2292;3977;Cisticola subruficapilla;Grey-backed Cisticola;Aves;Passeriformes
2293;3979;Cisticola textrix;Cloud Cisticola;Aves;Passeriformes
2294;3980;Cisticola tinniens;Levaillant's Cisticola;Aves;Passeriformes
2295;3981;Cisticola troglodytes;Foxy Cisticola;Aves;Passeriformes
2296;3982;Cisticola woosnami;Trilling Cisticola;Aves;Passeriformes
2297;3983;Cistothorus apolinari;Apolinar's Wren;Aves;Passeriformes
2298;3984;Cistothorus meridae;Merida Wren;Aves;Passeriformes
2299;3985;Cistothorus palustris;Marsh Wren;Aves;Passeriformes
2300;3986;Cistothorus platensis;Grass Wren;Aves;Passeriformes
2301;3987;Cistothorus stellaris;Sedge Wren;Aves;Passeriformes
2302;3988;Cittura cyanotis;Sulawesi Lilac Kingfisher;Aves;Coraciiformes
2303;3991;Clamator coromandus;Chestnut-winged Cuckoo;Aves;Cuculiformes
2304;3992;Clamator glandarius;Great Spotted Cuckoo;Aves;Cuculiformes
2305;3993;Clamator jacobinus;Jacobin Cuckoo;Aves;Cuculiformes
2306;3994;Clamator levaillantii;Levaillant's Cuckoo;Aves;Cuculiformes
2307;3995;Clangula hyemalis;Long-tailed Duck;Aves;Anseriformes
2308;3996;Paraclaravis mondetoura;Maroon-chested Ground Dove;Aves;Columbiformes
2309;3997;Claravis pretiosa;Blue Ground Dove;Aves;Columbiformes
2310;4000;Cleptornis marchei;Golden White-eye;Aves;Passeriformes
2311;4003;Clibanornis dendrocolaptoides;Canebrake Groundcreeper;Aves;Passeriformes
2312;4004;Clibanornis erythrocephalus;Henna-hooded Foliage-gleaner;Aves;Passeriformes
2313;4005;Clibanornis rectirostris;Henna-capped Foliage-gleaner;Aves;Passeriformes
2314;4006;Clibanornis rufipectus;Santa Marta Foliage-gleaner;Aves;Passeriformes
2315;4014;Climacteris affinis;White-browed Treecreeper;Aves;Passeriformes
2316;4015;Climacteris erythrops;Red-browed Treecreeper;Aves;Passeriformes
2317;4016;Climacteris melanurus;Black-tailed Treecreeper;Aves;Passeriformes
2318;4017;Climacteris picumnus;Brown Treecreeper;Aves;Passeriformes
2319;4018;Climacteris rufus;Rufous Treecreeper;Aves;Passeriformes
2320;4020;Clinopsalta autumna;Clinopsalta autumna;Insecta;Hemiptera
2321;4021;Dacelo rex;Shovel-billed Kookaburra;Aves;Coraciiformes
2322;4023;Clytoctantes alixii;Recurve-billed Bushbird;Aves;Passeriformes
2323;4024;Clytoctantes atrogularis;Rondonia Bushbird;Aves;Passeriformes
2324;4025;Heliodoxa rubricauda;Brazilian Ruby;Aves;Apodiformes
2325;4027;Clytomyias insignis;Orange-crowned Fairywren;Aves;Passeriformes
2326;4028;Clytorhynchus hamlini;Rennell Shrikebill;Aves;Passeriformes
2327;4029;Clytorhynchus nigrogularis;Black-throated Shrikebill;Aves;Passeriformes
